"Criteria performance report #5833ffeaa3993 (Nov 21, 2016)"
Campaign ID,Campaign,Impressions,Clicks,Conversions,CTR,Device,Quality score,Cost
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Mobile devices with full browsers, --,0
353227521,Vinhomes  Golden River,2,0,0.0,0.00%,Computers,4,0
686258044,Lancaster Lincoln,7,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
700963872,Khai trương nhà mãu,63,1,0.0,1.59%,Tablets with full browsers, --,1841000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
624978647,Campaign #1,63,4,0.0,6.35%,Mobile devices with full browsers,5,27368000000
624978647,Campaign #1,18,2,0.0,11.11%,Mobile devices with full browsers,5,19443000000
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,36,4,0.0,11.11%,Computers,8,16441000000
686258044,Lancaster Lincoln,27,0,0.0,0.00%,Computers, --,0
614968061,Remarketing Vinhomes,76,1,0.0,1.32%,Computers, --,2515000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers, --,0
614968061,Remarketing Vinhomes,2,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,18,0,0.0,0.00%,Mobile devices with full browsers,8,0
624978647,Campaign #1,9,0,0.0,0.00%,Tablets with full browsers,5,0
686258044,Lancaster Lincoln,33,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,23,2,0.0,8.70%,Computers, --,8294000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,1,0.0,100.00%,Tablets with full browsers, --,4506000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers, --,0
614968061,Remarketing Vinhomes,27,0,0.0,0.00%,Tablets with full browsers, --,0
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Tablets with full browsers, --,0
700963872,Khai trương nhà mãu,241,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,20,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,18,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Computers,7,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
624978647,Campaign #1,14,0,0.0,0.00%,Tablets with full browsers,5,0
700963872,Khai trương nhà mãu,1335,2,0.0,0.15%,Computers, --,2289000000
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers,6,0
686258044,Lancaster Lincoln,9,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,7,0,0.0,0.00%,Mobile devices with full browsers, --,0
614968061,Remarketing Vinhomes,52,1,0.0,1.92%,Mobile devices with full browsers, --,4623000000
624978647,Campaign #1,109,3,0.0,2.75%,Computers,5,23875000000
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,9,0,0.0,0.00%,Tablets with full browsers,8,0
700963872,Khai trương nhà mãu,120,0,0.0,0.00%,Computers, --,0
353227521,Vinhomes  Golden River,2,0,0.0,0.00%,Mobile devices with full browsers,4,0
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,8,0,0.0,0.00%,Mobile devices with full browsers, --,0
614968061,Remarketing Vinhomes,23,1,0.0,4.35%,Mobile devices with full browsers, --,2198000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
353227521,Vinhomes  Golden River,2,1,0.0,50.00%,Mobile devices with full browsers,5,5855000000
686258044,Lancaster Lincoln,24,0,0.0,0.00%,Mobile devices with full browsers, --,0
700963872,Khai trương nhà mãu,922,4,0.0,0.43%,Mobile devices with full browsers, --,5608000000
624978647,Campaign #1,31,4,0.0,12.90%,Computers,5,19629000000
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,1,0.0,100.00%,Computers, --,4398000000
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,18,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Mobile devices with full browsers, --,0
700963872,Khai trương nhà mãu,267,1,0.0,0.37%,Mobile devices with full browsers, --,1841000000
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers, --,0
353227521,Vinhomes  Golden River,4,0,0.0,0.00%,Computers,5,0
686258044,Lancaster Lincoln,11,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,53,0,0.0,0.00%,Mobile devices with full browsers, --,0
614968061,Remarketing Vinhomes,43,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,9,0,0.0,0.00%,Tablets with full browsers,6,0
686258044,Lancaster Lincoln,4,1,0.0,25.00%,Computers, --,3904000000
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Computers, --,0
700963872,Khai trương nhà mãu,465,4,0.0,0.86%,Mobile devices with full browsers, --,6264000000
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,3,2,0.0,66.67%,Computers, --,9571000000
353227521,Vinhomes  Golden River,2,1,0.0,50.00%,Mobile devices with full browsers,6,8696000000
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Computers, --,0
624978647,Campaign #1,1,0,0.0,0.00%,Computers,5,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,13,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,1,0.0,50.00%,Computers, --,4871000000
686258044,Lancaster Lincoln,13,0,0.0,0.00%,Tablets with full browsers, --,0
